type,question,answer
单选题,插入式振捣棒每次插点移动距离应不大于振捣棒作用半径的( ),A
单选题,溜槽出料口距混凝土浇筑面的高度不应超过( ),C
单选题,"钢筋焊接接头在受弯构件的受拉区不应大于( ) ,轴心受拉构件不应大于( )",C
单选题,铺设卷材防水层时，搭接宽度( )，上下两层接缝应相互错开1/3幅度,B
单选题,钢筋检验以同牌号、同炉号、同规格、同交货每( )吨为一个检验批,C
单选题,当桩身浅部存在缺陷时，可采用( )方法进行验证,A
单选题,没有检核条件的导线布设形式是( ),C
单选题,粉体喷射搅拌桩成桩长度及复搅长度应满足设计要求。喷粉中断时，第二次喷粉接桩的喷粉重叠长度不得小于( ),B
单选题,路面工程中，粒料基层完工后应及时洒布透层油并铺筑封层，透层油透入深度应不小于( )mm，无机结合料稳定材料基层透层油透入深度宜不小于3mm。,C
单选题,灌注水下混凝土过程中，若出现堵管现象，应采用( ) 的处理方法,B
单选题,冬季施工时，混凝土拌合物的入模温度不低于( ),A
单选题,采用插入式振动器浇筑混凝土时，分层浇筑的厚度不宜超过( ),C
单选题,钢材焊接拉伸试验，一组试件有2根发生脆断，应再取( )根进行复验,C
单选题,沥青路面透层施工中，透层油洒布后待充分渗透，一般不少于( ) 后才能摊铺上层,B
单选题,结构混凝土取样与试件留置，当一次连续浇筑超过1000m3时，同一配合比的混凝土每（  ）m3取样不得少于一次,C
单选题,地下连续墙的施工工艺不包括( ),D
单选题,349.市政管道施工时，一般应根据管道材质、(   )和地基条件确定管道基础形式。,D
单选题,在雨季施工时，明挖基坑安全风险控制的重点是( )和雨水淹没,A
单选题,综合管廊内纵向坡度超过(    )时，应在人员通道部位设置防滑地坪或台阶,B
单选题,预制拼装管廊的砼构件运输及吊装时，混凝土强度应符合设计要求。 当设计无要求时，不应低于设计强度的（  ）,C
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，（ ）组织编制试验计划,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，（ ）审批试验计划,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，不合格试验由（ ）制定处置措施,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，C40以下水泥混凝土配合比由（）审批,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，C40及C40以上水泥混凝土配合比由（）审批,A
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，无机结合料、沥青混合料配合比由（）审批,A
单选题,根据《科技质量管理手册》CSCEC83-TQ-2022相关规定，施工现场抽取或制作的试件应有唯一性标识，同条件试件后缀为（）,B
单选题,根据《科技质量管理手册》CSCEC83-TQ-2022相关规定，计量设备的送外检定和自检，（）应按周期检定计划,C
单选题,水泥或石灰剂量测定中，从加入钙红指示剂、滴定过程、滴定达到终点时的溶液颜色的变化过程（）,B
单选题,当钢筋采用搭接单面焊时，其搭接长度不应小于（    ）d 为钢筋直径,B
单选题,采用回弹法检测混凝土强度时，对于一般构件，测区数不宜少于（）个,B
单选题,混凝土拌合物发生分层、离析，说明其（    ）,B
单选题,隧道施工监控量测的项目中，（    ）是作为选测项目,D
单选题,沥青路面渗水仪测试路面未清扫干净（     ）渗水系数测值,A
单选题,水泥进场质量检查应对水泥的强度、安定性及凝结时间进行检验。同一生产厂家、同一等级、同一品种、同一批号且连续进场的水泥，袋装水泥不超过200t应为一批，散装水泥不超过（     ）应为一批,D
单选题,CMA是（    ）的英文缩写,B
单选题,所有仪器设备（包括标准物质）都应有明显的(    )来表明其状态,D
单选题,普通硅酸盐水泥的代号为(    ),C
单选题,混凝土拌合物坍落度试验从开始装料到提坍落度筒的整个过程应连续进行，应在（   ）s内完成,C
单选题,当运至现场的混凝土发生离析现象时，应在浇筑前对混凝土进行二次搅拌，（    ）,A
单选题,高性能减水剂一般是指（  ）类减水剂,C
单选题,混凝土试件成型后，应在成型好的试模上覆盖湿布，并在室温20℃±5℃、相对湿度大于(    )的条件下静置1～2d，然后拆模,B
单选题,混凝土抗压强度标准试件的尺寸为(    ),C
单选题,普通热轧带肋钢筋牌号构成由HRB和(     )特征值构成,C
单选题,适用于各种土测试含水率的方法（    ）,A
单选题,测定路面抗滑性能是为了保证车辆在路面上行驶的（  ） 性能,B
单选题,压碎指标是表示下列中哪种材料强度的指标（  ）,B
单选题,石灰的硬化过程（  ）进行,B
单选题,体积安定性不良的水泥，（  ）使用,A
单选题,高强度大六角头螺栓连接副主要检测（  ）,D
单选题,以下哪项不属于建筑外门窗主要检测性能指标（  ）,C
单选题,高分子防水卷材的厚度用（ ）测量比较方便、精确,B
单选题,检测高分子防水卷材抗拉强度时试件的形状为（  ）,C
单选题,喷射混凝土的（  ）是表示基物理力学性能及耐久性的一个综合指标，工程上把它作为重要检测内容,C
单选题,用回弹仪检测混凝土强度，计算测区平均回弹值时，应从测区的16个回弹值中剔除最大值和最小值各（  ）个,C
单选题,在砼试验过程中应连续均匀地加荷，混凝土强度等级≥C30且<C60时，加荷速度取每秒钟 (     )MPa,A
单选题,预制梁混凝土拌和物入模前含气量应控制在 (     ),A
单选题,"水泥强度仲裁试验或其他重要试验应用（ ）,其他试验可用饮用水",C
单选题,我们以细集料的细度模数来划分砂的粗、中、细程度，已知砂的细度模数为2.2，请指出它应属于(     )砂,C
单选题,工程中的安全、卫生、环境保护和公众利益起决定作用的检验项目是(     ),C
单选题,抽样标准是指抽样检验采用（    ）,D
单选题,混凝土拌合物表观密度计算精确至（  ）kg/m3,A
单选题,土的最佳含水率与（   ）比较接近,C
单选题,高强度大六角头螺栓连接副主要检测（  ）,D
单选题,节能抹面砂浆主要检测（  ）,B
单选题,锚杆轴力量测常采用（  ）,C
单选题,根据JGJ/T 23-2011规定，数字式回弹仪数字显示的回弹值与指针直读式值相差大于1时，应对该回弹仪进行（  ）,A
单选题,《回弹法检测混凝土抗压强度技术规程》JGJ/T23-2011规定，当回弹仪弹击超过（ ）次时，应进行保养,A
单选题,环刀法可以测定（  ）土的密度,A
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，以下属于本手册主要应对风险的是（ ）,ABCD
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，以下属于A类基础设施项目的是（ ）,ABCE
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，属于1341设计策划的内容是（ ）,AE
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，2522 履约督导以（ ）项施工管理为切入点,ABCD
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，（ ）属于一级节点,ABC
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，（ ）涉及项目部管理职能,BDE
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，下面关于项目策划“回头看”描述正确的是（ ）,CDE
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，下面对于施工准备及开工管理描述错误的是（ ）,AC
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，下面（ ）属于道路工程的一级节点,ABDE
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，下面（ ）属于桥梁工程的一级节点,BCD
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，下面（ ）属于明挖法隧道工程的一级节点,BCDE
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，对于总进度计划描述正确的是（ ）,AE
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，对于年进度计划描述正确的是（ ）,ABCE
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，对于月进度计划描述正确的是（  ）,ABC
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，对于周进度计划描述正确的是（  ）,ABE
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，对于总计划调整描述正确的是（ ）,ACDE
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，对于年计划调整描述正确的是（ ）,ADE
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，对于月、周计划调整描述正确的是（ ）,BCDE
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，对工期预警分类描述正确的是（ ）,ABCE
多选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，对于项目经理月度报告的要求，描述正确的是（ ）,ABE
多选题,下列属于钻孔灌注桩断桩可能的原因有( ),ABCD
多选题,以下哪些属于半刚性材料( ),ABD
多选题,桥梁总体质量检验的实测项目有(  ),BD
多选题,进行水泥混凝土配合比设计时，最基本的“三大参数”是（    ）,ACE
多选题,大体积混凝土施工中，为防止混凝土开裂，可采取的做法有 （ ）,ACD
多选题,路基施工中压实度不能满足质量标准要求，甚至局部出现“弹簧”现象，主要原因有（      ）,ACDE
多选题,可能导致水泥稳定碎石基层产生裂缝的原因有（      ）,ABCE
多选题,路基网状裂缝的形成原因有哪些（   ）,ABCD
多选题,在施工缝处继续浇筑混凝土时，应先做到（      ）,ABCE
多选题,预应力砼箱腹板开裂的可能原因有（      ）,ABCD
多选题,应急预案类型有（  ）,ABC
多选题,当基坑出现下列情况之一时，应加强监测，提高监测频率（ ）,ABCD
多选题,相线L1（A）、L2（B）、L3 相序的绝缘颜色依次为(   )；N线的绝缘颜色为(   )色；PE线的绝缘颜色为(   ),BCE
多选题,分配电箱应装设(    )、(   )以及总断路器、(   )或总熔断器、分路熔断器,BDE
多选题,为了确保安全生产，施工现场必须严格制止三违现像的发生，“三违”是指（  ）,ABE
多选题,专项方案论证会由施工单位组织召开，除5名以上专家参加以外，（ ）应派相关负责人参加,ABDE
多选题,根据《中建八局安全生产风险红黄牌警示管理办法》，下列哪些属于红牌警示事项（  ）,ABD
多选题,根据《中建八局安全生产风险红黄牌警示管理办法》，下列哪些属于黄牌警示事项（  ）,ABC
多选题,下列施工放样方法中，属于点位放样的有（      ）,ABD
多选题,热拌摊铺沥青混合料的施工温度包括（    ）,ACD
多选题,喷射混凝土的施工工艺有（    ）,ABC
多选题,影响灌砂法测定压实度结果的因素有 (     ),BD
多选题,在EDTA滴定试验中，使用到的化学试剂包括（    ）,AD
多选题,粗集料中针片状颗粒带来的问题是（     ）,ABD
多选题,桥梁伸缩装置成品需进行（     ）检测,BDE
多选题,喷射混凝土抗压试块制作方法有（    ）,BC
多选题,隧道混凝土衬砌质量检测包括（    ）,BCD
多选题,地基荷载板试验P-S曲线包括（     ）阶段,ABC
多选题,沥青混合料沥青含量试验方法有 (      ),AC
多选题,目前混凝土无破损检测方法有（     ）,BCD
多选题,隧道注浆材料应满足以下（     ）要求,ACD
多选题,热轧钢筋试验项目包括（  ）,ABD
多选题,土工布物理特性检测项目有（ ）,AB
多选题,钢绞线力学性能检测指标包括（ ）,BCE
多选题,钢结构构件焊接质量检验分为（ ）三个阶段,ABD
多选题,适用于检测隧道衬砌混凝土强度的声波探测法有（ ）,BC
多选题,混凝土初步配合比设计计算中，选择砂率由（   ）确定,AD
多选题,混凝土出现离析、扒底、含气量大等问题时，我们主要宜从哪些方面分析原因？（ ）,ABC
多选题,软化点试验过程中，对试验结果产生影响的因素包括（   ）,ABCD
多选题,监理工程师应该按照工程监理规范的要求，采取（    ）等形式对建设工程实施监理,ABD
多选题,试验室资质认定评审准则规定，试验室应该依法设立或注册、能够承担相应的法律责任，保证（  ）从事检测或校准活动,ABC
多选题,用碳化深度测定仪测定测量碳化深度值时，下列读数可能正确的是：（  ）,BC
多选题,泥浆性能检测指标包括(    ),ABCD
多选题,混凝土强度试验所需设备包括（  ）,ABCDE
多选题,采用JGJ/T 23-2011回弹法检测混凝土抗压强度，下列混凝土缺陷可能对回弹值产生影响的有：（  ）,ABCD
多选题,采用JGJ/T 23-2011回弹法检测混凝土抗压强度，当回弹仪为非水平方向且测试面为混凝土的非浇筑侧面时，应对回弹值进行下列哪些修正：（ ）,AC
多选题,用于回弹法批量检测的构件，混凝土应满足（ ）的一批同类构件，并随机抽取,ABC
多选题,回弹仪应具有（  ），并应在回弹仪的明显位置上标注名称、型号、制造厂名(或商标)、出厂编号等,AB
多选题,采用超声透射波法检测混凝土灌注桩桩身完整性时，其测试系统一般由(    )等组成,ACD
判断题,平面控制网可按精度划分为等与级两种规格，由高向低依 次宜为二、三、四等和一、二、三级。（  ）,A
判断题,预应力筋张拉锚固后，孔道应尽早压浆，且应在72h内完成，否则应采取避免预应力筋锈蚀的措施。（  ）,B
判断题,钢筋的连接宜采用焊接接头或绑扎接头。（  ）,B
判断题,轴心受拉和小偏心受拉构件不应采用绑扎接头。（  ）,A
判断题,后张预应力混凝土结构或构件的所有管道均应在每个顶点设排气孔及需要时在每个低点设排水孔。（  ）,A
判断题,大体积混凝土工程的施工宜采用分层连续浇筑施工或推移式连续浇筑施工。（  ）,A
判断题,混凝土运至浇筑地点后发生离析、坍落度不符合要求时，经试验人员现场同意后，可加水进行第二次搅拌。（  ）,B
判断题,用回弹法检测混凝土强度，计算测区平均值时应从测区的16个回弹值中剔除1个最大值和1个最小值。（  ）,B
判断题,路基冬期施工，开挖至路床顶面以上0.5m时，停止开挖，待冬期过后再施工。（ ）,B
判断题,桥台等结构物台背回填，靠近结构物的地方采用大型机械碾压，增加压实度（ ）,B
判断题,当千斤顶使用时间超过6个月或张拉超过300次时，应重新进行标定（  ）,A
判断题,"沥路面施工时,若混合料的加热温度过高或过低时,易造成沥青路面的泛油。（  ）",B
判断题,用灌砂法测定路基压实度，当试洞成上部大、下部小圆锥形时，会使实测密度偏小。（  ）,A
判断题,两种集料的细度模数相同，它们的级配一定相同。（  ）,B
判断题,"连续梁竖向预应力筋应采用两次张拉方式,且滞后纵向预应力筋张拉不宜大于3个悬浇梁段。(   )",A
判断题,混凝土拌合物工作性能检查每100m³不应少于1次。相邻两条变形缝区间的管廊结构，每次浇筑时留置的标准养护强度试件不得少于1组。（   ）,A
判断题,建筑工程质量的适用性即功能，是指工程满足使用目的的各种性能。 （  ）,A
判断题,分部（子分部）工程应由施工单位项目技术.质量负责人进行验收。（  ）,B
判断题,交接检验是指由施工方与监理方经双方检查并对可否继续施工做出确认的活动。（  ）,B
判断题,根据《建设工程施工现场消防安全技术规范》，施工现场周边道路满足消防车通行及灭火救援要求时，施工现场内可不设置临时消防车道。（  ）,A
判断题,根据《建设工程施工现场消防安全技术规范》，办公用房与宿舍间的防火间距不小于4米。（  ）,A
判断题,"建设工程质量检测是工程质量检测机构接受委托,依据国家有关法律、法规和工程建设强制性标准,对涉及结构安全项目的抽样检测和对进入施工现场的建筑材料.构配件的见证取样检测。（  ）",A
判断题,"建筑工程质量事故常有发生,因此,必须采取有效的措施,对常见的质量问题和事故先加以预防,并对已经出现的质量事故及时进行分析和处理。（  ）",A
判断题,"单位（子单位）工程质量竣工验收记录表由建设单位填写,验收结论由施工单位填写。（  ）",B
判断题,对危险性较大的模板工程及高大模板支撑体系专项施工方案应按照相关规定组织专家论证。（  ）,A
判断题,"当钢结构工程质量经有资质的检测单位检测鉴定达不到设计要求但经原设计单位核定认可能够满足结构安全和施工功能的检验批,可予以验收。（  ）",A
判断题,"永久性普通螺栓应牢固、可靠,外露丝扣不应少于2扣。（  ）",A
判断题,"施工单位对其首次采用的钢材、焊接材料、焊接方法、焊后热处理等,应进行焊接工艺评定,并应根据评定报告确定焊接工艺。（  ）",A
判断题,施工便道设置为单车道时，宽度宜不小于4.5m ，并设置错车道。间距不大于300m。错车道宽度不宜小于6.5m ，有效长度不宜小于20m 。（  ）,A
判断题,水泥混凝土上加铺沥青面层的复合式路面，水泥混凝土路面结构可不检查抗滑构造深度（  ）,A
判断题,钢梁制作时同一部位的焊缝返修不得超过三次，返修后的焊缝应按原质量标准进行复验，并且合格（  ）,B
判断题,顶进涵施工时，顶推力轴线应与桥涵中心线一致（  ）,A
判断题,植物成活率、覆盖率、植被盖度的检验至少在满二个年生长周期后进行（  ）,B
判断题,路基弯沉值代表值小于设计弯沉值时，相应分项工程为不合格（）,B
判断题,当混凝土原材料和施工工艺等发生变化时，必须重新选定配合比。(),A
判断题,混凝土运输.浇筑及间歇的全部时间可以超过混凝土的初凝时间。(  ),B
判断题,砂浆用水泥宜选用通用硅酸盐水泥。(  ),A
判断题,换填地基所用材料必须符合下列规定：换填用砂应为中、粗砂，有机质和含泥量均不得大于5％。（  ）,A
判断题,涵管顶进施工中，混凝土达到设计强度90%方可顶进。（  ）,B
判断题,在冬、雨期施工时，不需更换混凝土配合比（  ）,B
判断题,半刚性基层的四个实测项目中，关键项目是压实度（  ）,A
